country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,9.,"CONSTANTINO(FR), 4","55,0",am. Slavomír Šara,2 1/4,,2,Végh Ludovít,0,,,,,,,,,,,
,,,"7. dostih, start 16:28
7168 Cena Oravy
Rovina V.kat. - 1800 m, cena, 3letí a starší
33000 Sk (16500 - 7590 - 4950 - 2310 - 1650)
Zápisné: 0 + 0 Sk",PN,"LI PRIMO(SLO), 5","59,0",am. V. Puchel,,,4,Cagáň Ján,0,,,,,,,,,,,
,,,,1.,"TADEÁŠ(SLO), 4","59,5",am. V. Puchel,LEHCE,,4,Matulíková A.,0,,,,,,,,,,,
,,,,2.,"CORNEA, 3","54,0",am. A. Chynoradská,5,,6,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,3.,"ALGEBRA, 5","54,5",am. Slavomír Šara,krk,,8,Rosival Jozef,0,,,,,,,,,,,
,,,,4.,"KELINA, 4","54,0",am. Róbert Šara,3/4,,1,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,5.,"VIRGINIA(SLO), 3","51,5",žk. Ingrid Koplíková,krk,,5,Reindl Alexander,0,,,,,,,,,,,
,,,,6.,"TIMMY(SLO), 5","57,5",am. Matej Rigo,1 1/2,,2,ZD Jílové-Rychnov u Jablonce,0,,,,,,,,,,,
,,,,7.,"DESORMEAUX(SLO), 5","57,0",am. Andrea Suchovská,10,,7,Végh Ludovít,0,Výsledky ze dne 24.10.2004 - Šurany (Slovensko),"1. dostih, start 13:27
7156 Cena Kolagrex Int.,s.r.o. Kolárovo
Rovina IV.kat. - 1800 m, handicap, 3letí a starší
40000 Sk (20000 - 10000 - 6000 - 4000 - 0)
Zápisné: 0 + 0 Sk",1.,"SAMSON(SLO), 3","61,5",Tomáš Šmátrala,TUHÝ BOJ,,5,Reindl Alexander,0
,,,,,,,,,,,,,,,2.,"GLORIA(SLO), 3","59,0",am. Matej Rigo,kr.hlava,,3,Kalaš Pavel,0
,,,,,,,,,,,,,,,3.,"REBELIE, 9","51,0",ž. Zdenko Šmida,6,,6,Rosival Jozef,0
,,,,,,,,,,,,,,,4.,"CONSTANTINO(FR), 4","50,0",žk. Zuzana Zálesňáková,19,,1,Végh Ludovít,0
,,,,,,,,,,,,,,,5.,"ČIKO STAR(SLO), 3","55,0",am. Slavomír Šara,10,,2,Cagáň Ján,0
,,,,,,,,,,,,,,"2. dostih, start 13:58
7157 CenaBafaem Nové Zámky
Rovina III.kat. - 1600 m, cena, 2letí
40000 Sk (20000 - 9200 - 6000 - 2800 - 2000)
Zápisné: 0 + 0 Sk",ZN,"PIBECIA, 4","47,0",am. Róbert Šara,,,4,Šara Ludovít,0
,,,,,,,,,,,,,,,1.,"BORODIN(SLO), 2","58,0",ž. Petr Kubík,JISTĚ,,3,Šara Ludovít,0
,,,,,,,,,,,,,,,2.,"CHRISTINA(SLO), 2","57,0",ž. Roman Mališka,1,,9,Kalaš Pavel,0
,,,,,,,,,,,,,,,3.,"SHARP WIND(SLO), 2","55,5",am. Peter Hodáň,1/2,,2,Lehocký Jozef,0
,,,,,,,,,,,,,,,4.,"NOVENA(SLO), 2","54,5",am. Slavomír Šara,10,,1,Šara Ludovít,0
,,,,,,,,,,,,,,,5.,"HENNESY(SLO), 2","59,0",Martin Cagáň,17,,8,Cagáň Ján,0
,,,,,,,,,,,,,,,6.,"KOLJA(SLO), 2","57,0",ž. Zdenko Šmida,10,,5,Rosival Jozef,0
,,,,,,,,,,,,,,"3. dostih, start 14:33
7158 Cena Maja OZ Šurany
Rovina IV.kat. - 2600 m, cena, 3letí a starší
40000 Sk (20000 - 9200 - 6000 - 2800 - 2000)
Zápisné: 0 + 0 Sk",7.,"DAR(SLO), 2","53,5",am. Róbert Šara,daleko,,4,Rosival Jozef,0
,,,,,,,,,,,,,,,1.,"TEMPELKÖNIGIN(SLO), 4","60,0",žk. Pavel Míča,JISTĚ,,3,Cagáň Ján,0
,,,,,,,,,,,,,,,2.,"MILDRED, 3","57,0",žk. Petr Tůma,3/4,,5,Olehla Čestmír,0
,,,,,,,,,,,,,,,3.,"CANTUS, 10","60,5",am. Slavomír Šara,2 1/2,,1,Végh Ludovít,0
,,,,,,,,,,,,,,,4.,"MINORITA, 3","53,5",am. Róbert Šara,5,,9,Vinklárek Vladimír,0
,,,,,,,,,,,,,,,5.,"VEI SHALL, 7","61,5",ž. Petr Kubík,9,,4,Ministr Antonín,0
,,,,,,,,,,,,,,,6.,"TVISTERKA(SLO), 4","57,5",žk. Zuzana Zálesňáková,1,,8,Cagáň Ján,0
,,,,,,,,,,,,,,,7.,"VIENTO, 4","60,0",Tomáš Šmátrala,6,,2,Mocek Květoslav,0
,,,,,,,,,,,,,,,Z,"HARIDAN(SLO), 3","59,0",Martin Cagáň,,,7,Cagáň Ján,0
,,,,,,,,,,,,,,"4. dostih, start 15:02
7159 Cena primátora města Šurany
Rovina III.kat. - 1600 m, cena, 3letí a starší
50000 Sk (25000 - 11500 - 7500 - 3500 - 2500)
Zápisné: 0 + 0 Sk",ZN,"VILEDA(SLO), 7","60,0",žk. Lukáš Matuský,,,6,Cagáň Ján,0
,,,,,,,,,,,,,,,1.,"NEBRASCA(GER), 3","58,0",ž. Zdenko Šmida,JISTĚ,,1,Sokol Samuel,0
,,,,,,,,,,,,,,,2.,"FORMENTA(GB), 3","60,0",ž. Roman Mališka,1/2,,9,Sokol Samuel,0
,,,,,,,,,,,,,,,3.,"ANABASS(FR), 5","61,5",ž. Petr Kubík,1 1/2,,6,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,3.,"FARUK(SLO), 3","60,5",Tomáš Šmátrala,současně,,7,Reindl Alexander,0
,,,,,,,,,,,,,,,5.,"CHANNAH(SLO), 6","60,0",žk. Pavel Míča,3/4,,2,Rosival Jozef,0
,,,,,,,,,,,,,,,6.,"ČONA WIND(SLO), 3","57,5",žk. Zuzana Zálesňáková,3/4,,8,Sokol Samuel,0
,,,,,,,,,,,,,,,7.,"ERMINE(FR), 3","59,0",Martin Cagáň,1/2,,3,Cagáň Ján,0
,,,,,,,,,,,,,,"5. dostih, start 15:32
7160 Cena SHR Ing.Bednárik Michal, Šurany
Steeplechase - - 3400 m, cena, 4letí a starší
50000 Sk (25000 - 11500 - 7500 - 3500 - 2500)
Zápisné: 0 + 0 Sk",8.,"MARKA, 3","53,5",am. Róbert Šara,11,,4,Vinklárek Vladimír,0
,,,,,,,,,,,,,,,1.,"LISHARP, 11","69,5",ž. Pavel Kašný,V. LEHCE,,6,Kašný Pavel,0
,,,,,,,,,,,,,,,2.,"BARLEA, 4","63,0",am. Rostislav Benš,7,,1,Složil Pavel,0
,,,,,,,,,,,,,,,D,"JON(POL), 4","60,5",am. Lucie Olejníková,15,,2,Složil Pavel,0
,,,,,,,,,,,,,,,3.,"VLNHETTA, 7","66,0",žk. Pavel Míča,1 1/4,,5,Mocek Květoslav,0
,,,,,,,,,,,,,,,4.,"OLIVER(SLO), 7","67,0",Jaroslav Línek,daleko,,8,Šara Ludovít,0
,,,,,,,,,,,,,,,ZN,"ČEKLIS(SLO), 5","69,0",Martin Cagáň,,,4,Cagáň Ján,0
,,,,,,,,,,,,,,"6. dostih, start 16:15
7161 Cena Elkaš-Krcha Ladislav - Topolčianky
Rovina V.kat. - 1130 m, cena, 3letí a starší
30000 Sk (15000 - 7500 - 4500 - 3000 - 0)
Zápisné: 0 + 0 Sk",PN,"KÁRMENTÖ(HUN), 4","65,0",am. Radim Petřík,,,3,Ministr Antonín,0
,,,,,,,,,,,,,,,1.,"RAYMOND(SLO), 3","60,0",Tomáš Šmátrala,LEHCE,,2,Sokol Samuel,0
,,,,,,,,,,,,,,,2.,"ČUMA(SLO), 3","59,0",žk. Pavel Míča,4,,1,Cagáň Ján,0
,,,,,,,,,,,,,,,3.,"REWON(SLO), 3","60,0",žk. Lukáš Matuský,1 1/4,,4,Rosival Jozef,0
,,,,,,,,,,,,,,,4.,"OSIBISA(SLO), 3","54,5",žk. Zuzana Zálesňáková,3/4,,6,Sokol Samuel,0
,,,,,,,,,,,,,,,5.,"LUCKY WIND(SLO), 3","58,5",am. Peter Hodáň,daleko,,3,Lehocký Jozef,0
,2003,Výsledky ze dne 02.11.2003 - Bratislava (Slovensko),"1. dostih, start 11:34
7164 CENA TABU
Rovina III.kat. - 1700 m, cena, 2letí
40000 Sk (20000 - 9200 - 6000 - 2800 - 2000)
Zápisné: 0 + 0 Sk",1.,"CHRISANTA, 2","55,5",Žaneta Krelíková,,,1,Olehla Čestmír,0,,,S,"LI PRIMO(SLO), 5","57,0",am. Slavomír Šara,,,5,Kubovičová Zuzana,0
,,,,2.,"YORK CITY, 2","59,0",ž. Martin Srnec,,,5,Suchánek Martin,0,,,,,,,,,,,
,,,,3.,"NATARCZ(POL), 2","59,0",ž. Jaroslav Línek,,,7,Holčák František,0,,,,,,,,,,,
,,,,4.,"ČONA WIND(SLO), 2","56,5",žk. Zuzana Zálesňáková,,,2,Lehocký Jozef,0,,,,,,,,,,,
,,,,5.,"LORIMA(SLO), 2","58,0",Roman Mališka,,,6,Cagáň Ján,0,,,,,,,,,,,
,,,,6.,"WESTERLILIA(SLO), 2","57,0",Tomáš Šmátrala,,,8,Reindl Alexander,0,,,,,,,,,,,
,,,,7.,"CORNEA, 2","57,0",žk. Pavel Míča,,,10,Břečka Josef,0,,,,,,,,,,,
,,,,8.,"TINIA, 2","58,0",ž. Petr Kubík,,,4,Tugušev Ramazan,0,,,,,,,,,,,
,,,"2. dostih, start 12:04
7165 HANDICAP VICTORY PIPER
Rovina III.kat. - 1800 m, handicap, 3letí a starší
50000 Sk (25000 - 11500 - 7500 - 3500 - 2500)
Zápisné: 0 + 0 Sk",9.,"ALAN, 2","55,5",Lucie Baluchová,,,9,Hrbáček Vít,0,,,,,,,,,,,
,,,,1.,"VITAGRAND(SLO), 3","62,5",ž. Jaroslav Línek,,,6,Břečka Josef,0,,,,,,,,,,,
,,,,2.,"ERLKÖNIG(SLO), 7","56,5",am. A. Chynoradská,,,4,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,3.,"REBOUND(GB), 6","56,0",Roman Mališka,,,1,Reindl Alexander,0,,,,,,,,,,,
,,,,4.,"VALI(HUN), 3","52,5",ž. Zdenko Šmida,,,2,Tugušev Ramazan,0,,,,,,,,,,,
,,,,5.,"HIGH PAKA(SLO), 3","58,0",žk. Pavel Míča,,,11,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,6.,"TOURVILLAIS(FR), 7","49,5",žk. Zuzana Zálesňáková,,,9,Rosival Jozef,0,,,,,,,,,,,
,,,,7.,"RAVENSWOOD(SLO), 3","60,0",ž. Lukáš Kasal,,,5,Kubovičová Zuzana,0,,,,,,,,,,,
,,,,8.,"INVERNESS(SLO), 7","46,5",am. Róbert Šara,,,3,Reindl Alexander,0,,,,,,,,,,,
,,,,9.,"HOHENTWIEL(SLO), 3","57,0",Tomáš Šmátrala,,,7,Reindl Alexander,0,,,,,,,,,,,
,,,,10.,"NEW VALENTINE(GER), 3","56,0",ž. Petr Kubík,,,10,Sokol Samuel,0,,,,,,,,,,,
,,,"3. dostih, start 12:34
7166 HANDICAP VLADY
Rovina IV.kat. - 1150 m, handicap, 3letí a starší
40000 Sk (20000 - 9200 - 6000 - 2800 - 2000)
Zápisné: 0 + 0 Sk",11.,"BRANÍK(SLO), 5","54,0",am. Slavomír Šara,,,8,Kubovičová Zuzana,0,,,,,,,,,,,
,,,,1.,"KORNEL PRINC(SLO), 3","49,5",žk. Zuzana Zálesňáková,,,13,Sokol Samuel,0,,,,,,,,,,,
,,,,2.,"VIVIKA(SLO), 4","57,5",Roman Mališka,,,3,Sokol Samuel,0,,,,,,,,,,,
,,,,3.,"GOLDEN DREAM(SLO), 5","61,0",am. V. Břečková,,,4,Břečka Josef,0,,,,,,,,,,,
,,,,4.,"HOKY(SLO), 6","60,0",Tomáš Šmátrala,,,6,Šara Ludovít,0,,,,,,,,,,,
,,,,5.,"WANESA(SLO), 3","58,0",ž. Zdenko Šmida,,,7,Sokol Samuel,0,,,,,,,,,,,
,,,,6.,"WINCARA, 3","61,0",ž. Martin Srnec,,,12,Šara Ludovít,0,,,,,,,,,,,
,,,,7.,"KASTA(SLO), 7","58,5",ž. Jaroslav Línek,,,10,Sokol Samuel,0,,,,,,,,,,,
,,,,8.,"LEON(HUN), 4","54,0",am. A. Chynoradská,,,8,Végh Ludovít,0,,,,,,,,,,,
,,,,9.,"VICTORIA(SLO), 3","60,5",ž. Petr Kubík,,,5,Břečka Josef,0,,,,,,,,,,,
,,,,10.,"LADY DAKOTA(SLO), 3","61,5",žk. Pavel Míča,,,2,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,11.,"KAMARÁT(HUN), 7","64,5",am. Slavomír Šara,,,11,Kalaš Pavel,0,,,,,,,,,,,
,,,"4. dostih, start 13:31
7167 MEMORIÁL JOZEFA ČAJDU
Rovina II.kat. - 2400 m, cena, 3letí a starší
80000 Sk (40000 - 20000 - 12000 - 8000)
Zápisné: 0 + 0 Sk",12.,"ČUJNÁ(SLO), 3","50,0",am. František Kopča,,,1,Mühlová P.,0,,,,,,,,,,,
,,,,1.,"FENERIVE, 4","58,0",ž. Jaroslav Línek,,,4,Uhl Jiří,0,,,,,,,,,,,
,,,,2.,"INVESTOR, 3","57,0",ž. Martin Srnec,,,6,Morávková Jaroslava,0,,,,,,,,,,,
,,,,3.,"LORD OF THE BOARD(SLO), 4","59,0",žk. Pavel Míča,,,2,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,4.,"TORQUAY(POL), 4","59,0",ž. František Vávra,,,7,Zobal František,0,,,,,,,,,,,
,,,,5.,"LEGEND OF GLORY(USA), 6","60,0",ž. Petr Kubík,,,1,Rosival Jozef,0,,,,,,,,,,,
,,,"5. dostih, start 14:06
7168 ODVETNÁ CENA-CENA MOJMÍROVIEC-URMÍNA
Rovina I.kat. - 1800 m, cena, 2letí
120000 Sk (60000 - 27600 - 18000 - 8400 - 6000)
Zápisné: 0 + 0 Sk",6.,"SEJWALA(POL), 3","56,0",ž. Lukáš Kasal,,,5,Zobal František,0,,,,,,,,,,,
,,,,1.,"ILEX THE GREAT, 2","58,0",ž. Jaroslav Línek,,,1,Holčák František,0,,,,,,,,,,,
,,,,2.,"ANTIGEN, 2","57,0",ž. Zdenko Šmida,,,6,Brečka Jaroslav,0,,,,,,,,,,,
,,,,3.,"MONING LET(SLO), 2","57,0",žk. Pavel Míča,,,5,Kubovičová Zuzana,0,,,,,,,,,,,
,,,,4.,"RADOSLAVA, 2","56,0",ž. Ramil Děmidov,,,3,Šatra Tomáš,0,,,,,,,,,,,
,,,,5.,"CHARON(POL), 2","57,0",Žaneta Krelíková,,,4,Olehla Čestmír,0,,,,,,,,,,,
,,,,6.,"DOUCE PARIS(GER), 2","57,0",ž. Petr Kubík,,,2,Sokol Samuel,0,,,,,,,,,,,
,,,,7.,"KELVIN, 2","57,0",ž. Martin Srnec,,,7,Piruch Jozef,0,,,,,,,,,,,
,,,"6. dostih, start 14:35
7169 VELKÁ JESENNÁ STEEPLECHASE
Steeplechase - - 5000 m, cena, 5letí a starší
90000 Sk (45000 - 22500 - 13500)
Zápisné: 0 + 0 Sk",8.,"MA LUBA(GB), 2","56,0",Roman Mališka,,,8,Kalaš Pavel,0,,,,,,,,,,,
,,,,1.,"ASSUR(POL), 5","67,0",Jaroslav Línek,,,3,Holčák Radek,0,,,,,,,,,,,
,,,,2.,"MIDAS(SLO), 5","67,0",žk. Pavel Tůma 2,,,5,Rosival Jozef,0,,,,,,,,,,,
,,,"7. dostih, start 15:08
7170 HANDICAP ORAVY
Rovina V.kat. - 1800 m, handicap, 3letí a starší
30000 Sk (15000 - 6900 - 4500 - 2100 - 1500)
Zápisné: 0 + 0 Sk",3.,"VELVET, 13","67,0",žk. Pavel Míča,,,4,Kalaš Pavel,0,,,,,,,,,,,
,,,,1.,"MORNING FLAME(SLO), 3","54,0",am. A. Chynoradská,,,12,Reindl Alexander,0,,,,,,,,,,,
,,,,2.,"KYMARRON(SLO), 4","58,0",žk. Eduard Reindl,,,6,Reindl Alexander,0,,,,,,,,,,,
,,,,3.,"PIBECIA, 3","47,5",am. Róbert Šara,,,11,Šara Ludovít,0,,,,,,,,,,,
,,,,4.,"CANTUS, 9","54,0",am. Andrea Marochničová,,,9,Végh Ludovít,0,,,,,,,,,,,
,,,,5.,"PACIFIC(SLO), 7","60,0",am. Slavomír Šara,,,2,Reindl Alexander,0,,,,,,,,,,,
,,,,6.,"AGAR(SLO), 9","61,0",žk. Pavel Míča,,,10,Rosival Jozef,0,,,,,,,,,,,
,,,,7.,"CHANNAH(SLO), 5","57,0",žk. Pavol Mišún,,,1,Rosival Jozef,0,,,,,,,,,,,
,,,,8.,"KOCOŠ(SLO), 4","57,0",am. Z. Magdinová,,,4,Rosival Jozef,0,,,,,,,,,,,
,,,,9.,"NARINO(GER), 3","51,0",am. František Kopča,,,3,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,S,"DIABOLINA(SLO), 6","50,0",am. Zuzana Hricová,,,5,Kalaš Pavel,0,Výsledky ze dne 19.10.2003 - Topolčianky (Slovensko),"1. dostih, start 13:10
7157 CENA PPD VOLKOVCE
Rovina III.kat. - 1270 m, cena, 2letí
36000 Sk (18000 - 8280 - 5400 - 2520 - 1800)
Zápisné: 0 + 0 Sk",1.,"FORMENTA(GB), 2","57,0",ž. Petr Kubík,,,8,Sokol Samuel,0
,,,,,,,,,,,,,,,2.,"ANTIGEN, 2","58,0",ž. Zdenko Šmida,,,2,Brečka Jaroslav,0
,,,,,,,,,,,,,,,3.,"MONEYMAKER(SLO), 2","58,0",ž. Jaroslav Línek,,,6,Kubovičová Zuzana,0
,,,,,,,,,,,,,,,4.,"NEBRASCA(GER), 2","53,5",žk. Zuzana Zálesňáková,,,9,Sokol Samuel,0
,,,,,,,,,,,,,,,5.,"HOT FANTAZY, 2","56,0",ž. Lukáš Kasal,,,1,Holčák František,0
,,,,,,,,,,,,,,,6.,"TINIA, 2","57,0",Tomáš Šmátrala,,,4,Tugušev Ramazan,0
,,,,,,,,,,,,,,,7.,"BONNABEL(SLO), 2","53,5",am. Slavomír Šara,,,10,Tugušev Ramazan,0
,,,,,,,,,,,,,,,S,"ČÁRYFUK, 2","57,0",žk. Pavel Míča,,,11,Pokorný Antonín,0
,,,,,,,,,,,,,,,S,"ČONA WIND(SLO), 2","57,0",Alexander Smirnov,,,5,Lehocký Jozef,0
,,,,,,,,,,,,,,"2. dostih, start 13:35
7158 CENA GLOBAL PROGRES-ŠAMPIONÁREŇ TOPOLČIANKY
Rovina IV.kat. - 1700 m, cena, 3letí a starší
36000 Sk (18000 - 8280 - 5400 - 2520 - 1800)
Zápisné: 0 + 0 Sk",S,"MON SENIOR(HUN), 2","57,0",Roman Mališka,,,3,Tugušev Ramazan,0
,,,,,,,,,,,,,,,1.,"VICTORIA(SLO), 3","54,0",žk. Zuzana Zálesňáková,,,6,Břečka Josef,0
,,,,,,,,,,,,,,,2.,"FAST LADY(SLO), 3","57,0",Tomáš Šmátrala,,,2,Reindl Alexander,0
,,,,,,,,,,,,,,,3.,"NEW VALENTINE(GER), 3","55,5",ž. Petr Kubík,,,4,Sokol Samuel,0
,,,,,,,,,,,,,,,4.,"ZARIJA(SLO), 3","57,0",žk. Pavel Míča,,,3,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,5.,"NINNOLO(GER), 7","59,0",ž. Lukáš Kasal,,,5,Sokol Samuel,0
,,,,,,,,,,,,,,,6.,"NARINO(GER), 3","59,0",ž. Jaroslav Línek,,,8,Hanáček Jaroslav,0
,,,,,,,,,,,,,,"3. dostih, start 14:20
7159 CENA VINÁRSKE ZÁVODY a.s.TOPOLČIANKY
Proutky - - 3000 m, cena, 4letí a starší
40000 Sk (20000 - 9200 - 6000 - 2800 - 2000)
Zápisné: 0 + 0 Sk",7.,"ČUJNÁ(SLO), 3","56,0",am. Martin Kubinec,,,1,Mühlová P.,0
,,,,,,,,,,,,,,,1.,"NEMUNAS(POL), 4","63,5",ž. Marek Stromský,,,6,Holčák František,0
,,,,,,,,,,,,,,,2.,"KÖNIGSSIEGEL(GER), 5","64,0",Jaroslav Línek,,,2,Sokol Samuel,0
,,,,,,,,,,,,,,,3.,"CUKETKA, 5","65,0",žk. Pavel Míča,,,7,Ševčík Miroslav,0
,,,,,,,,,,,,,,,4.,"MINI FAVORIT(HUN), 4","61,0",Lukáš Matuský,,,4,Tugušev Ramazan,0
,,,,,,,,,,,,,,,5.,"ČEKLIS(SLO), 4","61,0",Martin Cagáň,,,5,Cagáň Ján,0
,,,,,,,,,,,,,,,6.,"VADUKA, 6","67,5",Pavol Gašpar,,,1,Piruch Jozef,0
,,,,,,,,,,,,,,,7.,"TOURVILLAIS(FR), 7","64,0",Miroslav Stančík,,,3,Rosival Jozef,0
,,,,,,,,,,,,,,,Z,"HALAKO(SLO), 8","67,0",ž. Jaroslav Brečka,,,8,Kalaš Pavel,0
,,,,,,,,,,,,,,"4. dostih, start 14:50
7160 CENA LESY SR š.p.OZ TOPOLČIANKY
Rovina V.kat. - 1270 m, cena, 3letí a starší
26000 Sk (13000 - 6500 - 3900 - 2600)
Zápisné: 0 + 0 Sk",Z,"PISTOL PETE(GER), 5","65,0",žk. Pavel Tůma 2,,,9,Seménka Zdeněk,0
,,,,,,,,,,,,,,,1.,"LADY DAKOTA(SLO), 3","52,5",ž. Zdenko Šmida,,,4,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,2.,"KAMARÁT(HUN), 7","58,5",Roman Mališka,,,5,Kalaš Pavel,0
,,,,,,,,,,,,,,,3.,"SMART BOY(SLO), 3","57,0",Tomáš Šmátrala,,,1,Reindl Alexander,0
,,,,,,,,,,,,,,,4.,"TOLIAR(GER), 3","57,0",ž. Petr Kubík,,,7,,0
,,,,,,,,,,,,,,,5.,"SAFEBLOWER(GER), 7","64,5",žk. Pavel Tůma 2,,,3,Rosival Jozef,0
,,,,,,,,,,,,,,,6.,"PRZEBÓJ(POL), 4","59,0",ž. Jaroslav Línek,,,6,Kubovičová Zuzana,0
,,,,,,,,,,,,,,"5. dostih, start 15:40
7161 CENA ZDRUŽENIA AGROPODNIKATELOV DVORY N.ŽITAVOU
Rovina III.kat. - 1000 m, handicap, 3letí a starší
46000 Sk (23000 - 10580 - 6900 - 3220 - 2300)
Zápisné: 0 + 0 Sk",7.,"KELT(HUN), 3","53,5",am. Slavomír Šara,,,2,Šara Ludovít,0
,,,,,,,,,,,,,,,1.,"TELESTAR(SLO), 3","57,5",žk. Pavel Míča,,,7,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,2.,"GOLDEN DREAM(SLO), 5","57,0",am. V. Břečková,,,1,Břečka Josef,0
,,,,,,,,,,,,,,,3.,"WANESA(SLO), 3","51,0",ž. Zdenko Šmida,,,5,Sokol Samuel,0
,,,,,,,,,,,,,,,4.,"MAIBIN(GB), 5","56,0",Roman Mališka,,,4,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,5.,"VIVIKA(SLO), 4","49,5",žk. Zuzana Zálesňáková,,,3,Sokol Samuel,0
,,,,,,,,,,,,,,,6.,"FUTURE`S STAR(SLO), 6","57,0",Tomáš Šmátrala,,,2,Reindl Alexander,0
,,,,,,,,,,,,,,,7.,"PREGO, 4","56,0",ž. Lukáš Kasal,,,8,Holčák František,0
,,,,,,,,,,,,,,"6. dostih, start 16:10
7162 CENA NÁRODNÉHO ŽREBČÍNA š.p.TOPOLČIANKY
Rovina II.kat. - 1780 m, handicap, 3letí a starší
75000 Sk (37500 - 18750 - 11250 - 7500)
Zápisné: 0 + 0 Sk",8.,"BRITHNEY(SLO), 3","59,0",ž. Jaroslav Línek,,,6,Kubovičová Zuzana,0
,,,,,,,,,,,,,,,1.,"TEMPLETON(SLO), 5","63,0",Tomáš Šmátrala,,,6,Reindl Alexander,0
,,,,,,,,,,,,,,,2.,"HIGH PAKA(SLO), 3","50,0",ž. Zdenko Šmida,,,3,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,3.,"SHADDAD(HUN), 3","61,0",ž. Jaroslav Línek,,,1,Tugušev Ramazan,0
,,,,,,,,,,,,,,,4.,"ANABASS(FR), 4","55,0",ž. Petr Kubík,,,2,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,5.,"EVERGREEN VENTURE(GB), 7","61,5",Roman Mališka,,,5,Kalaš Pavel,0
,,,,,,,,,,,,,,,6.,"SZERSZEN(POL), 6","52,0",žk. Zuzana Zálesňáková,,,4,Lehocký Jozef,0
,,,,,,,,,,,,,,"7. dostih, start 16:40
7163 CENA OBCE TOPOLČIANKY
Steeplechase - - 4000 m, cena, 4letí a starší
50000 Sk (25000 - 12500 - 7500 - 5000)
Zápisné: 0 + 0 Sk",7.,"SAMURAJ, 3","51,0","am. Lenka Černocká, Ing.",,,7,Holčák František,0
,,,,,,,,,,,,,,,1.,"FLOO, 4","63,0",Jaroslav Línek,,,4,Kalaš Pavel,0
,,,,,,,,,,,,,,,2.,"MIDAS(SLO), 5","66,5",žk. Pavel Tůma 2,,,5,Rosival Jozef,0
,,,,,,,,,,,,,,,3.,"SUMMER HARMONY(SLO), 4","67,0",ž. Jaroslav Brečka,,,6,Brečka Jaroslav,0
,,,,,,,,,,,,,,,4.,"VELVET, 13","66,5",Lukáš Matuský,,,1,Kalaš Pavel,0
,,,,,,,,,,,,,,,5.,"ERGANE(POL), 4","62,0",žk. Pavel Míča,,,2,Seménka Zdeněk,0
,2002,Výsledky ze dne 27.10.2002 - Bratislava (Slovensko),"7152 CENA BBAG BADEN-BADEN
Rovina II.kat. - 1800 m, ,
75000 Sk ( - - - - )
Zápisné: 0 + 0 Sk",1.,"TEMPLETON(SLO), 4","55,0",Tomáš Šmátrala,,,2,Kalaš Pavel,,,,PN,"HELIŠA(SLO), 5","67,5",Martin Cagáň,,,3,Cagáň Ján,0
,,,,2.,"MURANÓW(POL), 3","50,0",Martina Pečenková,,,8,Holčák František,,,,,,,,,,,,
,,,,3.,"RABAT, 4","53,0",Kristýna Bezděková,,,7,Šilhavý Ladislav,,,,,,,,,,,,
,,,,4.,"VITALINO(SLO), 3","60,0",Roman Mališka,,,9,Břečka Josef,,,,,,,,,,,,
,,,,5.,"DELI RULES, 4","56,0",Jaroslav Kovařík,,,4,Kabelková Hana,,,,,,,,,,,,
,,,,6.,"LOCO, 3","52,0",Jaromír Šafář,,,3,Héč Karel,,,,,,,,,,,,
,,,,7.,"RADIWIO, 3","61,5",Zdenko Šmida,,,5,Rosina Jozef,,,,,,,,,,,,
,,,"7153 ODVETNÁ CENA-CENA OTP BANKA SLOVENSKO
Rovina I.kat. - 1800 m, ,
120000 Sk ( - - - - )
Zápisné: 0 + 0 Sk",8.,"AUENLORD(GER), 4","50,0",Tihamér Nagy,,,6,Brečka Jaroslav,,,,,,,,,,,,
